Name,Date,Is Weekend?,Unique,Male,Female,Final Count,Keywords,Genre,Attending,Interested,Declined,Maybe,Post Consumptions,Post Impressions,Post Impressions Paid,Post Impressions Paid Unique,Post Engaged Fan,Post Engaged Users,Post Negative Feedback,Post Stories,Post Storytellers,Page Post Engagements,Page Posts Impressions,Post Interests Impressions,Post Interests Consumptions,Page Story Adds,Post Reactions Like Total,Post Reactions Wow Total,Post Reactions Love Total,Post Reactions Haha Total,Post Reactions Sorry Total,Post Reactions Anger Total,Post Video Views,Description,EVALUATION?
Obtuse Feb : Drew Siner / Kiddo / GNZ,"2/10/2018, 10:30:00 PM",1,0,0,0,0,,electronic,28,43,0,43,0,0,0,0,0,1,0,1,1,,,,,,0,0,0,0,0,0,0,OBTUSE : Offbeat dance night February edition features Indy punk outfit Kiddo   with electronics by hakk.haus DJs Drew Siner and GNZ  Feb. 10 10:30pm ››› FREE 21+  Lineup : Drew Siner  Kiddo GNZ  ***********  Drew Siner https://soundcloud.com/dozehouse  Kiddo https://kiddo317.bandcamp.com/releases  GNZ https://soundcloud.com/a_gnzls,
Sweet Poison Victim w/ Pavel & Direct Contact & DJ Kyle Long,"2/9/2018, 10:30:00 PM",1,0,0,0,0,,electronic,40,169,0,169,0,0,0,0,0,1,0,3,1,,,,,,0,0,0,0,0,0,0,Every month Sweet Poison Victim  joined by DJ Kyle Long  hit fountain square with a bombastic night of afro-jams.  This month's SPV / KL mashup features latin jazz trio Pavel & Direct Contact!  Feb. 9th 10:30pm ›‹ $5 ›› Pioneer Indy 21+  DJ Kyle Long to spin before  in-between  and after the bands.  Pavel & Direct Contact Latin Jazz trio featuring some of Indy's finest IG : @pavel_polancosafadit  Sweet Poison Victim Afrobeat sensationalists straight outta Naptown. https://sweetpoisonvictim.bandcamp.com/,
Sleeping Bag // Sad Baxter // Volunteer Department,"2/8/2018, 10:00:00 PM",0,0,0,0,0,,rock,40,102,0,102,0,0,0,0,0,4,0,8,4,,,,,,0,0,0,0,0,0,0,Sleeping Bag & Sad Baxter are headed back to Pioneer. Slinging the good word reinvigorated 90s rock-style To be joined by Volunteer Department  Feb 8 10pm $5 21+  Sleeping Bag Sleeping Bag is going to remind you of something  and you’re going to think it’s something specific. But the thing is  so is the person next to you  and what they think of is going to be way different than the thing that you’re thinking of. The reason is  Sleeping Bag makes good use of a lot of familiar sounds and tools to those of us who got lost in the indie rock of the mid-late ’90s. But  Sleeping Bag is not a throwback outfit. They might be using techniques and colors from a palate we’re used to  but Sleeping Bag is very modern. Very Nowtro. What they’ve captured here is a familiar feeling  a sensation  and nobody does it better. http://sleepingbag.bandcamp.com  Sad Baxter Heavy pop sludge in Nashville  TN brought to you by a pair o best friends that bicker like people who have been around each other for far too long holy heck http://sadbaxter.com  Volunteer Department volunteer dept. is under investigation and cannot comment at this time http://www.musicalfamilytree.com/band/volunteer_department,
Fennec : Pint Night Spins,"2/7/2018, 10:00:00 PM",0,0,0,0,0,,electronic,5,19,0,19,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,Pint Night's every Wednesday  which means discounted burrs  half off all snacks  and on this special occasion  aural delights as provided by Fennec.  Soundcloud : http://bit.ly/2x4d1Cb Spotify : http://spoti.fi/2ydalP9  We have a broad selection of beers available  including choice brews from all over the Europe and the US  including some local favorites. 15 taps in all. Stay tuned for a specific draft list closer to the event.  Come on out  grab a pint  and celebrate humpday in style  10pm ~ free  w/ old school video games installed for your entertainment,
Cathy Morris String Duo,"2/4/2018, 12:00:00 PM",0,0,0,0,0,,other,7,62,0,62,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,Feb 4 // 12pm // free  A 14 string Brunch Jazz Duo  Cathy Morris As a performer you’ll find Cathy in a broad range of arenas: concert and festival stages in the US and abroad  at world viewed events including the Opening Ceremonies for the World Swimming Championships  Indianapolis International Violin Competition and repeatedly in front of 250 000 people at the Formula One and Indy 500 races. Cathy and her band have opened for Al Jareau  Burt Bacharach  George Benson  Chuck Mangione  Rick Braun  fourPlay and Najee to name a few and can regularly be seen as the guest soloist performing her original music with orchestras and jazz bands.  Show to run through brunch service. Reservations available for dine-in as normal.,
First Friday : Clint Breeze and the Groove,"2/2/2018, 10:30:00 PM",1,0,0,0,0,,hiphop,83,362,0,362,0,0,0,0,1,4,1,5,4,,,,,,0,0,0,0,0,0,0,First Friday at Pioneer in February features Indy jazzhop/groove group Clint Breeze & the Groove!  Feb 2 10:30pm FREE 21+  11:15pm - Clint Breeze & the Groove  *With DJ sets by Antonio Leiriao (Naptown Soul Club) & DJ Chase before and after the Groove!*   Clint Breeze is the brain child of Indianapolis native and hip-hop producer Carrington Clinton. With Jazz and Soul influenced sounds  Heavy drum compositions and with a balance of raw and catchy rhythm and melody  Clint Breeze makes music for the soul. http://www.clintbreeze.com/,
False Ragu V - 'The Fifth One',"1/31/2018, 10:00:00 PM",0,0,0,0,0,comedy,other,9,25,0,25,0,0,0,0,1,2,1,2,2,,,,,,0,0,0,0,0,0,0,False Ragu V January 31st ›‹ 10PM FREE  Special Musical Guest:  Peter Andrew King of Peter and the Kings  Critics Corner:  Review Neil Breen's tour'de force  Fateful Findings   Since Porsha and Nic have been performing these shows it hasn't been clear if its been good or bad for their relationship.  Are they joking up there?  Is he gonna propose to her?  Are they happy together?  Whats going on? Was there a sitcom in the 90's called Teen Angel about a teen that was dared eat an old sandwich  died  and then came back as a ghost to help his friend?  Maybe things are gonna be ok  maybe they're gonna get rough up there.  I heard they don't even sleep in the same room anymore.  Join Nic  Porsha  Sound Czar JB  and all round nice guy Producer Jawn  won't you?  For the next False Ragu.  It'll be pretty weird.,
EmiSunshine with Etta May at Pioneer,"1/28/2018, 7:00:00 PM",0,0,0,0,0,,rock,38,164,0,164,0,0,0,0,1,11,0,12,11,,,,,,0,0,0,0,0,0,0,Country music sensation Emi Sunshine will be performing at Pioneer  joined by comedian Etta May!  January 28 7pm All Ages Advanced Tickets : $20 Door : $25   EmiSunshine With a family musical lineage that goes back three generations  it’s no surprise that EmiSunshine is a natural performer. Like her great-grandmother  Emi has the ability to turn on the country charm and entertain a crowd. Like her grandmother  Emi can sing gospel with the conviction of a soul who’s been on the earth years beyond her age. And like her father  Emi can cut loose and have fun with the crowd. Emi draws inspiration from artists such as Buddy & Julie Miller  Dolly Parton and Sister Thorpe  as well as regional artists like Jeff Barba & Sarah Pirkle  Kata Hay  Matt Woods  and her distant cousin Kevin Abernathy. Even at a young age  Emi writes and performs her own songs  while also covering some of her favorite artists.   http://theemisunshine.com  Etta May Etta May is an American comedian. She was the winner of the American Comedy Awards Stand-Up Comic of the Year  and has appeared on MTV  Oprah  Comic Strip http://www.ettamay.com/,
Spellbound DJ Dance Night: January 2018 with VHS or Beta,"1/27/2018, 10:30:00 PM",1,0,0,0,0,,electronic,104,264,0,264,,,,,,,,,,,,,,,,,,,,,,Spellbound: a new darkwave / goth / industrial / dark alternative / 80s retro / witchhouse / bloghouse / indie DJ dance night at Pioneer in Fountain Square with hosts Andy & Annie of A-Squared Industries and DJ Evil Twin.   January 2018 guest DJ will be Craig Pfunder of the band VHS or Beta!  Sponsored by Jagermeister and Indy CD & Vinyl. Photos by Greg  The Mayor  Andrews. Design by Brock Forrer. Hair & Makeup by Megan Gill of Amethyst. Dance music for those truly dead inside. www.spellboundindy.com #SpellboundIndy  21+ with valid ID. $5 cover at the door.,
Spandrels // Moira // Cherrys,"1/26/2018, 10:30:00 PM",1,0,0,0,0,,rock,39,86,0,86,0,0,0,0,0,1,0,2,1,,,,,,0,0,0,0,0,0,0,noise / dream / bubblegum pop  Jan 26 $5 10:30pm 21+  Lineup : 10:30pm - Cherrys 11:15pm - Moira 12:00am - Spandrels  ›››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››  Spandrels noise pop  Moira (Dayton  OH) Ambient  Dream-Pop  Post Rock http://www.moiraband.com  Cherrys lo-fi bubblegum beach pop https://cherrrrys.bandcamp.com,
"Troy Davis, Patrick Trowbridge, Eric Brown","1/23/2018, 9:00:00 PM",0,0,0,0,0,,other,7,8,0,8,,,,,,,,,,,,,,,,,,,,,,This month we have local favorite Troy Davis as well as touring comedians Patrick Trowbridge and Eric Brown!,
Obtuse presents : Moon King // Mk-II // D Strange,"1/22/2018, 8:00:00 PM",0,0,0,0,0,,electronic,20,56,0,56,0,0,0,0,1,3,0,8,3,,,,,,0,0,0,0,0,0,0,OBTUSE Presents lo-fi dance-beats by Detroit's Moon King. To be joined by analog-synth-hop duo MK-II and taste-making beats by D. Strange  Jan 22 7:30pm doors $8 adv / $10 door 21+  tix : https://www.eventbrite.com/e/moon-king-at-pioneer-tickets-40793465353?aff=es2  Moon King is the alias of producer  singer and songwriter Daniel Benjamin. Born in Toronto  the musician spent 2016 in Detroit  where the musically fertile and offbeat neighborhood of Hamtramck became both his home and the inspiration for a new set of recordings. Hamtramck '16 documents his arrival into a new and unfamiliar environment combined with a growing obsession for underground dance music  a sound and spirit that has always felt right at home in Detroit. Collaborating with local artists and musicians  and having the freedom to stretch out after several years of constant touring  Daniel put together a completely new band with a sound drawing from dance music's early days  from synthpop  disco and house music up through the more pop-oriented songcraft of the Bee Gees or Prince. Daniel's attention to detail in production  and willingness to break the mold of what he sees as his own potential  have made him an interesting figure to watch. With Hamtramck '16 he has created a lo-fi pop gem that will leave listeners eager to hear what comes next. https://moon-king.bandcamp.com/  MK-II Jacob Gardner's analog synth project  coupled with vocals by Michael Anderson  D. Strange Drake Strange is a midwestern black identity extremist with an affinity for global sounds of the future as well as dusty crates of techno  house  and soul artifacts littered across the USA. https://soundcloud.com/dstrange-estmort,
Naptown Soul Club : January Edition,"1/20/2018, 10:30:00 PM",1,0,0,0,0,,electronic,41,210,0,210,0,0,0,0,1,2,0,2,2,,,,,,0,0,0,0,0,0,0,Featuring the most banging grooves from the nastiest of the funk underground  Naptown Soul Club is a vinyl DJ dance night at Pioneer that occurs every 3rd Saturday of the month! Come get your freak on. Brought to you by Dark Matter Coffee  Jan. 20 10:30pm // $5 21+  January's Lineup ::: DJ Paren Antonio Leiriao Ben Fasman (Chicago) Dave Mata (Soul Summit Chicago / Royal Hands)  Focusing on regional artists who have paved the way for generations of soul and R&B to thrive and prosper in the midwest  Naptown Soul Club is a bombastic blend of retro and contemporary soul; '45 spinning  vinyl ripping. At these dance nights  you'll have exclusive aural access to songs that you can't hear anywhere else.  *Occurs every 3rd Saturday of the month*,
Dam // Brandon Lott // DJ Dickie Foxxx,"1/19/2018, 10:30:00 PM",1,0,0,0,0,,hiphop,21,44,0,44,0,0,0,0,0,1,0,2,1,,,,,,0,0,0,0,0,0,0,Got a bangin' night of R & B  hiphop  and DJ Sounds featuring Brandon Lott  DAM  and DJ Dickie foxxx closing it out. Hosted by Matt Davis.  Jan. 19 10:30pm $5 21+  Brandon Lott Alternative smooth R&B  hip hop http://brandonlott.com  DAM Hip hop grooves in live mixtape fashion brought to you by Devon Ashley (Drums)  Mike Graves (beats)  and Reggie Bishop (Keys)  DJ Dickie Foxxx hip hop DJ beats,
D. Strange : Pint Night Spins,"1/17/2018, 10:00:00 PM",0,0,0,0,0,,electronic,9,18,0,18,0,0,0,0,0,2,0,4,2,,,,,,0,0,0,0,0,0,0,Pint Night's every Wednesday  which means discounted burrs  half off all snacks  and on this special occasion  aural delights as provided by D. Strange  Drake Strange is a midwestern black identity extremist with an affinity for global sounds of the future as well as dusty crates of techno  house  and soul artifacts littered across the USA. https://soundcloud.com/dstrange-estmort  We have a broad selection of beers available  including choice brews from all over the Europe and the US  including some local favorites. 15 taps in all. Stay tuned for a specific draft list closer to the event.  Come on out  grab a pint  and celebrate humpday in style  10pm ~ free  w/ old school video games installed for your entertainment,
Sweet Poison Victim & DJ Kyle Long,"1/13/2018, 10:30:00 PM",1,0,0,0,0,,electronic,25,164,0,164,0,4,0,0,0,1,0,1,1,,,,,,0,0,0,0,0,0,0,Every Second Saturday Sweet Poison Victim joined by DJ Kyle Long hit fountain square with a bombastic night of afro-jams.  Jan. 13 10:30pm ›‹ $5 ›› Pioneer Indy 21+  Features a double set by Sweet Poison Victim with intermittent dancebeat DJ'ing by DJ Kyle Long.  Sweet Poison Victim Afrobeat sensationalists straight outta Naptown. https://sweetpoisonvictim.bandcamp.com/,
Crescent Ulmer // Hales Corner // Duncan Kissinger,"1/12/2018, 10:00:00 PM",1,0,0,0,0,,rock,32,107,0,107,0,0,0,0,0,1,0,3,1,,,,,,0,0,0,0,0,0,0,10:30pm FREE 21+  Lineup :  10:30pm - Duncan Kissinger (solo) 11:15pm - Hales Corner 12:00am - Crescent Ulmer Band  ›››››››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹››››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹  Crescent Ulmer (full band) Singer-songwriter based out of Indiana  now collaborating on their emotive tunes with a 4-piece band.  Their most recent album Creature Comforts can be found here : Crescentulmer.bandcamp.com.  Hales Corner Indiana-born rock n droll https://halescorner.bandcamp.com/  Duncan Kissinger https://duncankissinger.bandcamp.com/album/make-time-stop,
Obtuse Jan : VV Torso / duchess / Linda,"1/6/2018, 10:30:00 PM",1,0,0,0,0,,electronic,34,68,0,68,0,0,0,0,1,2,0,5,2,,,,,,0,0,0,0,0,0,0,OBTUSE in January features Indy post-punk outfit outfit VV Torso  industrial klub-hitter Linda and the return of OBTUSE veteran duchess  Jan. 6 10:30pm ››› FREE 21+  Lineup : Linda VV Torso duchess  ***********  duchess https://soundcloud.com/duchess-obtuse  VV Torso https://vvtorso.bandcamp.com/  Linda https://www.instagram.com/_______linda_______/?hl=en,
First Friday : Mathaius Young / Mula Kkhan / gnz,"1/5/2018, 10:00:00 PM",1,0,0,0,0,,electronic,49,120,0,120,0,0,0,0,4,6,0,7,6,,,,,,0,0,0,0,0,0,0,First Friday at Pioneer in January features Indy hiphop acts Mathaius Young and Mula Kkhan  with OBTUSE DJ gnz set to close it out.  Jan 5 10:30pm FREE 21+  Mathaius Young Although born and raised in Ohio  Mathaius has since relocated to Indianapolis where he’s been busy pursuing both music and school. At just 20-years old  he’s become equally talented in both producing and rapping—although his first foray into hip-hop began with production at the age of 14  after being inspired by iconic producers like Pharrell and Timbaland. When he had trouble placing his beats with other artists  he decided to rap over them himself. He’s been chasing a rap career ever since  and in late 2015  signed to the NYC-based indie imprint Nomad Music Group. https://soundcloud.com/mathaiusyoung  ›‹›‹›‹›‹›‹›‹›‹›‹›‹›‹›‹›‹›‹›  Mula Kkhan https://soundcloud.com/kkhancepts  ›‹›‹›‹›‹›‹›‹›‹›‹›‹›‹›‹›‹›‹›  gnz https://soundcloud.com/a_gnzls,
Drew Siner : Pint Night Spins,"1/3/2018, 10:00:00 PM",0,0,0,0,0,,electronic,10,23,0,23,0,0,0,0,0,1,0,1,1,,,,,,0,0,0,0,0,0,0,Pint Night's every Wednesday  which means discounted burrs  half off all snacks  and on this special occasion  aural delights as provided by DJ Drew Siner  who'll be spinning a special medley of disco and house beats.  We have a broad selection of beers available  including choice brews from all over the Europe and the US  including some local favorites. 15 taps in all. Stay tuned for a specific draft list closer to the event.  Come on out  grab a pint  and celebrate humpday in style  10pm ~ free  w/ old school video games installed for your entertainment,
The Fountain Square NYE 2018 * Silent PARTY,"12/31/2017, 9:00:00 PM",0,0,0,0,0,,electronic,70,331,0,331,,,,,,,,,,,,,,,,,,,,,,"The Fountain Square NYE Silent Party 2018
 Sunday  December 31  2017. 9PM
 
 1110 Shelby St. Indy
 (Fountain Square). 9PM
 
 $30  Early Advance online discount tickets available now.
 
 2 for $50  limited time online tickets available through Sun  Dec. 10th.
 
 Join Deckademics DJ School  Studio 77  Sound Off  Diversecity and Old SOUL Entertainment for a not so silent New Year's Eve Party at Pioneer.
 
 Three Parties. Nine DJs. One Night.
 
 How is this possible?
 Silent Party / Disco Headphones.
 
 What are Silent Party / Disco Headphones?
 With Silent Disco headphones  you can tune into 3 different DJs on 3 different channels. Don’t like the music DJ 1 is playing on the red channel? Just flip a switch on your headphones and see what DJ 2 or DJ 3 is playing on the blue and green channels. You’re in control of the music! Colored LED lights let you know what your friends are listening to. It’s not only fun to be a part of  but exciting to watch and listen to everyone as they dance and sing together.
 
 All year  Old SOUL Entertainment has brought you back to back events that have offered diversity in deejays  attendees and music. For New Years Eve  we will be combining 3 of our parties in one venue; ICON  Back to the Future and Diaspora.
 
 On the 1st channel: ICON Party (Hip-Hop)
 DJs Cleopatrah  Stylistic  Lady Shay & Sounds by Todd
 Spinning music from Kendrick Lamar  Biggie  UGK  Jay Z...
 
 2nd Channel: Back to the Future (Open Format)
 DJs Dezzy Dezz  Katie Kiwi  Sir Doug & Iron Lion
 Spinning music from Rihanna  Drake Nirvana  Yeah  Yeah  Yeahs...
 
 3rd Channel: Diaspora (International)
 DJs Echo Dub  Ras Tuli & Rasul  DJ. 
 Spinning music such as Reggae  Afrobeat  House
 & Music from the Continent.
 
 Hosted by Sir Doug & Dwani
 
 Also Dwani Aslo \ TROOPSHIT  audio release & video shoot at Pioneer.",
Spellbound DJ Dance Night: December 2017 Edition!,"12/30/2017, 10:30:00 PM",1,0,0,0,0,,electronic,87,279,0,279,,,,,,,,,,,,,,,,,,,,,,Spellbound: a new darkwave / goth / industrial / dark alternative / 80s retro / witchhouse / bloghouse DJ dance night at Pioneer in Fountain Square with hosts Andy & Annie of A-Squared Industries and DJ Evil Twin.   December guests will be Afterdark Resurrection: mister-e-dj & DJ WickedGoth ~~~ it's also the birthday celebration of Spellbound co-host Annie Skinner!!!  Photos by Greg  The Mayor  Andrews. Design by Brock Forrer. Sponsored by Jagermeister and Indy CD & Vinyl. Dance music for those truly dead inside. www.spellboundindy.com #SpellboundIndy,
IBLD Presents Gwen Sunkel and Luke Basile,"12/22/2017, 10:00:00 PM",1,0,0,0,0,,other,8,23,0,23,,,,,,,,,,,,,,,,,,,,,,Its a late night fund raiser for the dogs! Come see local favorites Gwen Sunkel and Luke Basile raise hell and dollars for the pooches!,
False Ragu IV - 'The Fourth One',"12/20/2017, 10:00:00 PM",0,0,0,0,0,,other,11,31,0,31,0,0,0,0,1,1,0,1,1,,,,,,0,0,0,0,0,0,0,False Ragu IV December 20th ›‹ 10PM FREE  In the spirit of keeping everyone confused and disoriented  False Ragu will be spoofing vapid  depthless and morally hollow morning shows!  Join Nic  Porsha  band leader JB  and charmingly incompetent segment producer “Jawn” as we sit down with local Indy polymath Duncan Kissinger and talk how we can get ourselves truly out there.  Just in time for the Holiday Season False Ragu IV will showcase classic all American consumerism as well as highly toxic conditional love between family and friends!  Join us won’t you Dec. 20th Wednesday 10:00PM @ Pioneer on Pint Night!,
Naptown Soul Club : December Edition,"12/16/2017, 10:30:00 PM",1,0,0,0,0,,electronic,49,223,0,223,0,0,0,0,2,4,0,5,4,,,,,,0,0,0,0,0,0,0,Brought to you by Dark Matter Coffee  Dec. 16 10:30pm // $5 21+  Lineup ::: DJ Paren Antonio Leiriao Scott Matelic (Indy / Brooklyn) DJ MetroGnome (Deckademics  Red Bull Music academy) DJ Skeme Richards (Official Fan Page) (Nostalgia King  Rock Steady Crew  Red Bull Music Academy)  We've got a special run of recurring dance nights coming at you from Indy's own Naptown Soul Club! Focusing on regional artists who have paved the way for generations of soul and R&B to thrive and prosper in the midwest  Naptown Soul Club is a bombastic blend of retro and contemporary soul; '45 spinning  vinyl ripping. You'll have exclusive aural access to songs that you can't hear anywhere else.  *Occurs Monthly*,
"Obtuse Dec : Cairo Jag, Mememormee, drake strange","12/15/2017, 10:30:00 PM",1,0,0,0,0,,electronic,25,62,0,62,0,0,0,0,1,2,1,3,2,,,,,,0,0,0,0,0,0,0,OBTUSE in December features Indy rock n' roll outfit Cairo Jag  Dec. 15 10:30pm ››› FREE 21+  Lineup : Mememormee Cairo Jag Drake Strange  ***********  Cairo Jag Indianapolis rock n roll terrorist group https://cairojag.bandcamp.com/  Drake Strange https://soundcloud.com/dstrange-estmort  Mememormee http://soundcloud.com/mememormee,
Matthew Milia (of Frontier Ruckus) w/ Peter Oren & Caleb McCoach,"12/14/2017, 10:00:00 PM",0,0,0,0,0,,other,23,47,0,47,0,0,0,0,0,1,0,4,1,,,,,,0,0,0,0,0,0,0,A night of somber but spirited midwestern jams.  December 14th 10pm   ››‹‹    $5 21+  Lineup TBD  Matthew Milia (of frontier ruckus) Matthew Milia is a critically acclaimed songwriter  best known as the lead singer and guitarist for Frontier Ruckus. He is also a poet and visual artist. With Frontier Ruckus  Milia has tirelessly toured the United States and Europe since 2008garnering a devoted cult following and performing at major music festivals such as Bonnaroo  Lollapalooza  and End of the Road in the United Kingdom. Known for his obsession toward nostalgic detail  Milia has written over 100 songs constructing an intricate personal mythology based on his lifelong home of Detroit  Michigan. His debut solo album  Alone at St. Hugo  is scheduled for a 2018 release. http://www.matthewmilia.com  Peter Oren Indiana-born  everywhere-based singer-songwriter Peter Oren possesses a remarkable singing voice  low and deep and richly textured: as solid as a glacier  as big as a mountain. Similar in its baritone gravel to Bill Callahan  a hero of his  it rumbles in your conscience  a righteous sound that marks him as an artist for our tumultuous times  when sanity seems absent from popular discussions. His voice is ideally suited to confront a topic as large and as ominous as the Anthropocene Age. His new LP 'Anthropocene' arrives November 10th via Western Vinyl.  http://peteroren.com/  Caleb McCoach What separates a songwriter from the incoherent  corner store madman or a purveyor of cheap parlor tricks? The crux of this answer lies in an ability to reveal universal  essential truths to the listener in a way that feels simultaneously effortless and impossible. The best songwriters achieve this end regardless of genre or format. Caleb McCoach is one of those  https://calebmccoach.bandcamp.com/album/gone-forever,
Sweet Poison Victim / ¡ESSO Afrojam Funkbeat / DJ Kyle Long,"12/9/2017, 10:30:00 PM",1,159,1,5,165,,electronic,56,228,0,228,0,0,0,0,0,3,1,3,3,,,,,,0,0,0,0,0,0,0,Bringing down the undeniable ¡ESSO Afrojam Funkbeat from Chicago for December's SPV monthly!  Dec. 9 10:30pm ›‹ $5 ›› Pioneer Indy 21+  10:30pm ~ ¡ESSO Afrojam Funkbeat   11:30pm ~  Sweet Poison Victim  ***DJ Kyle Long to spin before  in-between  and after the bands***  Sweet Poison Victim Afrobeat sensationalists straight outta Naptown. https://sweetpoisonvictim.bandcamp.com/  ¡ESSO Afrojam Funkbeat Cultural consciousness  unity and celebratory dance are the ideals behind multicultural musical outfit ¡ESSO! Afrojam Funkbeat. The Chicago based ensemble perform a unique interfusion of Afro-Latin inspired compositions and jams. Influenced by the global troubadours and subversive thinkers of an emerging counterculture in the 70s and 80s  the band pays homage to the traditional and progressive while taking their own step forward.   The rustic rhythms of Fela spiced with the textures of Fania blend with an improvisational ritual resembling the Funk Brothers; all from the streets that birthed house music. ¡ESSO! has experimental roots with live musicians setting the stage for soul singers  “coro” group singing  and poetic emcees. This platform has cemented into a diverse group finding an outlet at global street festivals and venues with an impassioned heart on its studied sleeve.  http://www.essoafrojamfunkbeat.com/,
Benny Sanders Artist Reception Feat. Wax Fang & Pravada,"12/8/2017, 10:00:00 PM",1,37,0,0,37,"Art,  Rock,  Exhibition",other,45,154,0,154,,,,,,,,,,,,,,,,,,,,,,WAX FANG will be playing at Pioneer in Indianapolis on Friday December 8th. To be joined by PRAVADA!  Artwork by Benny Sanders to be displayed in the dining room and bar area for public viewing beginning at 7pm.  Lineup : 10pm - doors 10:45pm - Pravada 11:45pm - Wax Fang   Dec. 8 Doors at 10pm ›‹ $7 21+  WAX FANG Wax Fang is the moniker of songwriter  producer and multi-instrumentalist  Scott Carney. It began as a solo project with 2005’s albume-ette of quirky pop songs. Black & Endless Night  was manifested into a power trio for both 2007’s neo-classic rock non-cept album  La La Land  and 2012’s brooding Mirror  Mirror EP before becoming a two piece recording project for 2014’s space-rock opera  The Astronaut. 2017 finds Wax Fang with in its most realized form  with bassist/ co-producer Corey McAfee  keyboard wizard  Zach Driscoll  and drummer  Dave Chale  and a brand new album in tow: Victory Laps will be released on May 5. Pre-order here: www.waxfang.com  PRAVADA Jesse met Casey at a row of steel avocado green lockers. A few years past writing at a cabin on Raccoon Lake  in an empty rave hall in Ithaca  NY. The balance found on their Bloomington floor brought us the Brotherhood PRAVADA http://pravada.bandcamp.com,
hakk.haus takeover at Pioneer,"12/2/2017, 10:00:00 PM",1,129,0,0,129,,electronic,61,150,0,150,0,0,0,0,4,6,0,16,6,,,,,,0,0,0,0,0,0,0,12.2.17 $5 10 PM  underground sounds television installations interactive visual landscapes techno electro house music  Featured DJs : DJ Shaw Shank FilterNetwork Drew Siner GNZ,
Pandemonium : Mayhem & Debauchery First Friday DJ Night,"12/1/2017, 10:30:00 PM",1,187,0,0,187,"DJ,  Dance,  Techno",electronic,50,113,0,113,0,0,0,0,2,5,0,8,5,,,,,,0,0,0,0,0,0,0,First Friday in December features a raucous electronic dance night.  Pandemonium : Mayhem & Debauchery December 1 10:30pm ›‹ FREE 21+  house  electro  synthpop  techno  POI by Artmosphere Go Go Dancers  Beats by : DJ Charbonneau      › http://charbonneaudj.com DJ Coppertop      › https://soundcloud.com/dj-copper-top DJ Bad Faerie DJ Patrick,
IBLD Presents Mike Ball,"11/28/2017, 9:00:00 PM",0,0,0,0,0,,other,5,12,0,12,,,,,,,,,,,,,,,,,,,,,,A comedy show to raise money for Indy Humane. Come see headliner Mike Ball along with Dan Sebree and a few local favorites. As always hosted by Tyson Cox  $10 suggested donation at the door.,
Sunday Swap Meet : Pioneer,"11/26/2017, 11:00:00 AM",0,0,0,0,0,,other,19,115,0,115,0,0,0,0,0,2,0,5,2,,,,,,0,0,0,0,0,0,0,Last Sunday of every month vendors from all over the Indianapolis/Bloomington area gather to sell a variety of goods & services  vintage and otherwise at Pioneer!  Nov. 26 11am to 3pm  Clothes! Jewelry! Vinyl! Nail Painting! Coffee!  Featured Vendors :  Weronika Hajduczyk ~ curated vintage  1900's-1950's  Erin Drew ~ visual artist  Liz Wierzbicki ~ visual artist (founder of Cat Head Press: Printshop and Artist Cooperative) https://www.instagram.com/lizwierzbicki/?hl=en  My Old Threads by Niki Royal  IG : https://www.instagram.com/myoldthreads/  Plus an Espresso Bar by Tinker Coffee Co.!  DJ Don't Leave Me (aka Jeb) is our SSW DJ of the month ~ spinning vinyl for your perusing pleasure.  *The Sunday Swap Meet runs through Pioneer's Brunch service (10am - 3pm) Come grab a bite and peruse the vibrant selection of vendibles!*,
Spellbound DJ Dance Night - November Edition,"11/25/2017, 10:30:00 PM",1,228,0,0,228,"Darkwave,  DJ",electronic,93,268,0,268,,,,,,,,,,,,,,,,,,,,,,SPELLBOUND A new darkwave / goth / dark alternative / 80s retro / bloghouse / witchhouse / industrial DJ dance night at Pioneer Indy in Fountain Square Hosted by DJs Annie & Andy of A-Squared Industries and DJ Evil Twin - and our special guests are Greg Roper and J.F. Kreuz! November 2017 - THANKSGIVING EDITION / DJ EVIL TWIN'S BIRTHDAY EDITION  $5 cover at the door | 21+ with valid ID | Dance music for dead souls Photos by Greg  The Mayor  | Design by Christian Brock Forrer SPONSORED BY INDY CD & VINYL and JAGERMEISTER,
DJ Little Town : Pint Night Spins,"11/22/2017, 10:00:00 PM",0,52,0,0,47,"soul,  funk,  dj,  monthly",electronic,14,78,0,78,0,0,0,0,0,2,0,2,2,,,,,,0,0,0,0,0,0,0,Pint Night's every Wednesday  which means discounted burrs  half off all snacks  and on this special occasion  aural delights as provided by DJ Little Town.  We have a broad selection of beers available  including choice brews from all over the Europe and the US  including some local favorites. 15 taps in all. Stay tuned for a specific draft list closer to the event.  Come on out  grab a pint  and celebrate humpday in style  10pm ~ free  w/ old school video games installed for your entertainment,
